market,b,avg_attacker_profit,total_attacker_profit,profitable_rate,avg_ev_lost,total_ev_lost,avg_price_impact
NBA Finals Thunder vs Pacers,50,0.021241914714196623,3.9722380515547684,0.09090909090909091,0.01875589095093385,3.50735160782463,0.0006029944368071258
NBA Finals Thunder vs Pacers,100,0.05040369513514049,9.425490990271271,0.10695187165775401,0.04314611181081146,8.068322908621743,0.0008682269285058155
NBA Finals Thunder vs Pacers,250,0.2914970579716069,54.509949840690496,0.08021390374331551,0.24206885281687798,45.266875476756184,0.001464809635051501
NBA Finals Thunder vs Pacers,500,0.5564906938322353,104.063759746628,0.11229946524064172,0.6382861209458297,119.35950461687015,0.002058447185189843
NBA Finals Thunder vs Pacers,1000,1.9107346913229772,357.30738727739674,0.20320855614973263,1.6045651850021407,300.05368959540033,0.002943088470372917
NBA Finals Thunder vs Pacers,2000,4.696549880506185,878.2548276546567,0.5614973262032086,3.5976396361789145,672.758611965457,0.003582303217542737
NFL SEA vs NE,50,8.22351818926455,345.3877639491111,0.11904761904761904,0.00822351818911284,0.3453877639427393,0.023785714285714285
NFL SEA vs NE,100,16.447036378528754,690.7755278982077,0.14285714285714285,0.016447036378507276,0.6907755278973056,0.023785714285714285
NFL SEA vs NE,250,41.117590374722916,1726.9387957383624,0.16666666666666666,0.041144323735467184,1.7280615968896216,0.023785821124998014
NFL SEA vs NE,500,82.2169985713538,3453.1139399968597,0.19047619047619047,0.7975891923450933,33.498746078493916,0.02527909921217057
NFL SEA vs NE,1000,112.71830241642367,4734.168701489794,0.42857142857142855,9.06509184125564,380.7338573327369,0.036398945850888896
NFL SEA vs NE,2000,104.3227739150501,4381.556504432105,0.6428571428571429,16.793527834691158,705.3281690570286,0.035187817442573766
World Series Winner,50,0.09887903926864851,2.471975981716213,0.24,0.09572166510771098,2.3930416276927744,0.0025648969050111516
World Series Winner,100,0.3903509535534738,9.758773838836845,0.36,0.3691123153335703,9.227807883339258,0.005643515171674802
World Series Winner,250,1.5993476687158614,39.983691717896534,0.68,1.443929435525948,36.0982358881487,0.00902712058418301
World Series Winner,500,3.989432072274185,99.73580180685462,1.0,3.3828779004773923,84.57194751193481,0.010488561563645828
World Series Winner,1000,7.118060906504579,177.95152266261448,1.0,6.016681231262629,150.41703078156573,0.011456859603245441
World Series Winner,2000,9.478898114894474,236.97245287236183,1.0,8.484521552346743,212.1130388086686,0.01182579122718145
