trade_index,datetime_utc,victim_size_usd,front_run_size_usd,victim_cost_baseline,victim_cost_actual,front_run_shares,back_run_revenue,attacker_profit,shares_lost,expected_value_lost,price_before,price_after_frontrun,price_after_victim,price_after_backrun,market,b,front_run_multiplier,min_victim_size_usd,price_impact
44,2025-06-02 15:56:15+00:00,31.25,7.812499999999545,31.249999999999545,31.249999999999773,7.8125000423470965,7.812500011365273,1.1365727914380841e-08,1.1365500540705398e-08,1.1365500476661526e-08,0.9999999943650637,0.9999999947885359,0.9999999961872115,0.9999999958773926,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,4.2347214623816853e-10
47,2025-06-02 18:18:33+00:00,121.0,30.250000000000227,120.99999999999977,121.0,30.25000007942333,30.250000055739747,5.573951966653112e-08,5.5739747040206566e-08,5.573974687060884e-08,0.9999999969573288,0.9999999977515619,0.9999999993295219,0.9999999990926838,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,7.942331237131839e-10
48,2025-06-02 19:52:37+00:00,3887.01,971.7525,3887.0099999999998,3887.0099999999993,971.752500090726,971.7525000907253,9.07252797333058e-08,9.072573448065668e-08,9.072573439833976e-08,0.9999999990926838,0.9999999999999454,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,9.072615991811972e-10
49,2025-06-03 02:37:14+00:00,1247.44,311.8599999999997,1247.4400000000014,1247.4400000000005,311.8600000000001,311.8600000000006,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
50,2025-06-03 11:16:40+00:00,762.5,190.625,762.5,762.5,190.62499999999955,190.625,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
51,2025-06-03 18:46:22+00:00,625.0,156.25,625.0,625.0,156.24999999999955,156.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
52,2025-06-03 22:36:28+00:00,130.6825,32.670624999998836,130.68249999999898,130.68249999999898,32.670624999999745,32.670624999998836,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
53,2025-06-03 22:37:16+00:00,93.75,23.4375,93.75,93.75,23.43749999999909,23.4375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
54,2025-06-04 09:06:47+00:00,312.4375,78.109375,312.4375,312.4375,78.10937499999909,78.109375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
56,2025-06-05 09:47:26+00:00,179.0,44.75,179.0,179.0,44.74999999999909,44.75,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
57,2025-06-05 13:12:59+00:00,332.0,83.0,332.0,332.0,82.99999999999909,83.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
59,2025-06-05 19:51:34+00:00,249.0,62.25,249.0,249.0,62.24999999999909,62.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
60,2025-06-05 22:42:21+00:00,6358.60375,1589.6509374999987,6358.603749999998,6358.603750000002,1589.6509374999996,1589.6509374999987,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
61,2025-06-05 23:43:16+00:00,1256.19,314.04749999999694,1256.1899999999987,1256.1900000000023,314.04749999999876,314.0475000000006,3.637978807091713e-12,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
62,2025-06-06 00:03:36+00:00,37.26,9.315000000002328,37.26000000000204,37.26000000000204,9.31500000000051,9.315000000002328,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
63,2025-06-06 00:17:38+00:00,600.0,150.0,600.0,600.0,149.99999999999818,150.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
64,2025-06-06 00:18:00+00:00,466.72,116.68000000000029,466.72000000000116,466.72000000000116,116.67999999999847,116.68000000000029,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
66,2025-06-06 03:05:26+00:00,525.45,131.3625000000029,525.4499999999971,525.4499999999971,131.3625000000011,131.3625000000029,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
67,2025-06-06 03:26:16+00:00,500.0,125.0,500.0,500.0,124.99999999999818,125.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
68,2025-06-06 03:29:12+00:00,100.0,25.0,100.0,100.0,24.99999999999818,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.0
