market,b,front_run_multiplier,min_victim_size_usd,attacks_simulated,profitable_attacks,avg_attacker_profit,total_attacker_profit,max_attacker_profit,avg_shares_lost,total_shares_lost,avg_expected_value_lost,total_expected_value_lost,avg_price_impact,max_price_impact
NBA Finals Thunder vs Pacers,100.0,0.25,25.0,219,31,0.05160413558785342,11.301305693739899,5.93826008494495,0.07215885493510382,15.802789230787738,0.03915657946873961,8.575290903653974,0.0006987083321689955,0.06960907410642453
NBA Finals Thunder vs Pacers,100.0,0.25,50.0,187,25,0.022307358972162374,4.171476127794364,2.521572221267178,0.026205159858731116,4.900364893582719,0.019702501347062477,3.684367751900683,0.000316774129890159,0.04289617331192441
NBA Finals Thunder vs Pacers,100.0,0.25,100.0,158,11,0.01017991339994594,1.6084263171914586,1.6084153701703485,0.010179921487426465,1.6084275950133815,0.010003216120962026,1.580508147112,0.00010084586849459119,0.015933483457254205
NBA Finals Thunder vs Pacers,100.0,0.25,200.0,114,5,0.014108907477851505,1.6084154524750716,1.6084153701703485,0.014108918684186983,1.608416729997316,0.013864011246514565,1.5804972821026604,0.00013976740597108344,0.015933483457254205
NBA Finals Thunder vs Pacers,100.0,0.5,25.0,219,31,0.0872588339034409,19.109684624853557,10.099030362541924,0.1246945157857447,27.308098957078087,0.06578216312805694,14.40629372504447,0.0012882657008406603,0.1311233904585009
NBA Finals Thunder vs Pacers,100.0,0.5,50.0,187,24,0.03402143837232941,6.362008975625599,4.5411282914488424,0.041134000731912534,7.692058136867644,0.029495329306030358,5.515626580227677,0.000528313921625942,0.0807519133924296
NBA Finals Thunder vs Pacers,100.0,0.5,100.0,158,11,0.011008351099807042,1.7393194737695126,1.7393002479298616,0.011008359850934481,1.7393208564476481,0.010817275076684509,1.7091294621161524,0.00010912450226259632,0.01724138342491688
NBA Finals Thunder vs Pacers,100.0,0.5,200.0,114,10,0.015257020442345592,1.7393003304273975,1.7393002479298616,0.015257032571290645,1.7393017131271336,0.014992195779013257,1.7091103188075112,0.00015124021271486313,0.01724138342491688
NBA Finals Thunder vs Pacers,100.0,1.0,25.0,219,31,0.13894572668117502,30.42911414317733,15.488244016446473,0.20225764370889918,44.29442397224892,0.10513346537940198,23.024228918089033,0.0023095390342278317,0.23352360336593941
NBA Finals Thunder vs Pacers,100.0,1.0,50.0,187,20,0.05040369513514064,9.4254909902713,7.536176905039355,0.062442314024778206,11.676712722633525,0.04314611181081155,8.06832290862176,0.0008682269285058161,0.14364156677696815
NBA Finals Thunder vs Pacers,100.0,1.0,100.0,158,16,0.01108194826489108,1.7509478258527906,1.7509175479665373,0.011081957074797854,1.7509492178180608,0.010889595988854271,1.7205561662389748,0.00010986081432589534,0.01735755495262492
NBA Finals Thunder vs Pacers,100.0,1.0,200.0,114,7,0.015358926582328087,1.750917630385402,1.7509175479665373,0.015358938790343831,1.7509190220991968,0.015092333074902273,1.7205259705388591,0.00015225926120436965,0.01735755495262492
NBA Finals Thunder vs Pacers,100.0,2.0,25.0,219,31,0.20022312911744586,43.848865276720645,20.9082094168526,0.29562143959512943,64.74109527133335,0.15307015267532262,33.522363435895656,0.0038135999288376726,0.3759439905388235
NBA Finals Thunder vs Pacers,100.0,2.0,50.0,187,21,0.06972476853256493,13.038531715589642,11.08028220249841,0.08784864156497113,16.4276959726496,0.05939810688421675,11.107445987348532,0.0013377423696196466,0.23076458103635888
NBA Finals Thunder vs Pacers,100.0,2.0,100.0,158,20,0.011082510670614939,1.7510366859571604,1.7509963475336008,0.011082519479766918,1.751038077803173,0.010890149736625247,1.720643658386789,0.00010986675713771606,0.017358342984400532
NBA Finals Thunder vs Pacers,100.0,2.0,200.0,114,9,0.015359617806708277,1.7509964299647436,1.7509963475336008,0.01535963001744054,1.7509978219882214,0.015093012303481259,1.7206034025968635,0.00015226617376381068,0.017358342984400532
NBA Finals Thunder vs Pacers,100.0,5.0,25.0,219,30,0.2625461725908551,57.49761179739727,25.514232467183206,0.3916641763634644,85.7744546235987,0.203191810319567,44.499006459985175,0.005742683117392913,0.5480827516364879
NBA Finals Thunder vs Pacers,100.0,5.0,50.0,187,19,0.08897734005950574,16.638762591127573,14.609441682894015,0.11345236324753087,21.215591927288273,0.07577864510713091,14.17060663503348,0.0018994007049576885,0.3350978982744883
NBA Finals Thunder vs Pacers,100.0,5.0,100.0,158,18,0.011082541362037474,1.7510415352019209,1.7509963511120077,0.011082550172609099,1.7510429272722376,0.010890180429055067,1.7206485077907006,0.00010986721760868121,0.0173583430201788
